Pincode,Volumetric Lat,Volumetric Long
788723,24.73692238,92.31599299
788729,24.81895849,92.33391518
793210,25.17042001,92.3974109
788735,24.58678969,92.39585481
784112,26.67907058,92.44538538
788722,24.77551169,92.34557669
782127,26.42463917,92.31317135
784113,26.60625701,92.26813674
788727,24.43674455,92.32917472
788726,24.52323798,92.31763887
788719,24.7174534,92.35639677
793151,25.59654636,92.25408648
788728,24.35184821,92.28782443
788781,24.81895849,92.33391518
788725,24.54579773,92.26564414
790101,27.38685596,92.28663032
782410,26.12805754,92.19313041
784508,26.73770823,92.22138353
784115,26.52884938,92.17067672
782121,26.3419565,92.19526995
784116,26.56449944,92.22353909
784513,26.86437368,92.12235275
793101,26.06062094,91.83618405
799252,27.3817957,92.9760622
790002,27.09529901,92.16233731
782403,26.12568036,92.07259195
793105,25.79746571,92.00814759
784190,26.58753709,92.08045489
799254,24.34168362,92.12241466
793103,25.64354628,91.93049292
784514,26.65239362,92.1787943
784509,26.74750737,92.11862105
784125,26.42701192,92.06725817
782411,26.20235306,92.13172845
790114,27.09315684,92.62473506
790103,27.07979502,93.1365185
790102,27.3817957,92.9760622
784146,26.48818815,92.1187692
793109,25.19033734,92.08138083
793012,25.59541676,91.92328918
793015,25.4804295,91.97822031
782401,26.17498175,91.95495739
793021,25.55244857,91.9736841
784529,26.43126644,92.0080418
784510,26.76488101,92.00675917
781150,26.22620832,91.91128456
784524,26.82842176,91.93147397
782402,26.09227731,91.91563678
784147,26.50829561,91.90792339
793116,25.69645863,92.05571265
793013,26.47130507,91.79989287
793122,25.65272271,91.88502325
784144,26.46502618,91.89619658
793102,25.92005845,91.96073314
790104,27.61540181,91.88798485
793104,25.71411756,91.89486777
799284,23.62027772,91.83631156
793110,25.30280069,91.90376138
784145,26.33962581,91.88674542
781023,26.11482025,91.84636842
799285,24.19068785,91.82006786
799286,24.08975491,91.83481122
784526,26.76825008,91.81838774
799287,24.14331771,91.79462493
784148,26.47130507,91.79989287
790106,27.55438951,91.70613992
790105,27.56477049,92.03357038
799104,23.37560266,91.80178021
784527,26.73779484,91.7416679
793115,25.50030622,91.73644674
793108,25.30894052,91.729995
793111,25.26766079,91.50514016
793107,25.17166064,91.73250203
799145,23.03119192,91.69157834
799101,23.5761278,91.65688466
781035,26.11737642,91.70288438
793112,25.17054239,91.65034652
781101,26.27812977,91.70203025
799207,24.00492614,91.61155539
799201,24.09024645,91.62453792
793121,25.44618538,91.64735684
793120,25.61653236,91.64981938
799143,23.09553701,91.64764934
799202,24.07041676,91.60867495
793123,25.83279093,91.55520722
781128,26.12610199,91.55158616
793113,25.26766079,91.50514016
781015,26.09331773,91.59112384
799125,23.43903537,91.52120618
781350,26.38830514,91.53346272
781376,26.53067771,91.59620436
799211,23.96646526,91.36569952
799113,23.56524694,91.44623011
781132,26.0835962,91.46485174
781120,25.91884988,91.43728312
799212,24.05813131,91.41519904
799105,23.4716604,91.40917586
781333,26.59209531,91.38666485
781310,26.35185123,91.38422875
799011,23.74785296,91.48253382
781343,26.6698703,91.39702123
793114,25.38665202,91.37239444
781126,26.24662787,91.36652308
799210,23.92702065,91.33477448
781134,26.08712223,91.42511641
781375,26.44005718,91.19472171
799015,23.91353126,91.26342819
799115,23.52518124,91.32218547
793106,25.21236073,91.27270613
781124,26.03037385,91.38409767
799132,23.34702318,91.32757567
781370,26.4564436,91.35214106
781131,26.01115466,91.55544076
781141,26.04914774,91.30905351
781138,26.29201829,91.31572268
781373,26.72552692,91.28971954
781377,26.63263996,91.28558787
781306,26.41623637,91.33055656
799012,23.89800378,91.28798583
781378,26.4386032,91.29031798
781338,26.37825473,91.29404966
781137,26.11428788,91.28650341
781312,26.28281748,91.25203935
799009,23.88394909,91.25603229
781374,26.44219546,91.26348463
781307,26.36615629,91.21874726
781129,25.83268232,91.16966224
781327,26.6786369,91.21568472
781305,26.28116975,91.18104487
781330,26.73647407,91.19941985
781123,25.95207251,91.24008426
793119,25.57623003,91.29646412
781311,26.34241113,91.14092455
781136,26.10222211,91.16173202
781352,26.42109718,91.09239385
781302,26.245205,91.14055867
781309,26.29833573,91.06980211
781314,26.33690474,90.99903181
794107,25.51273256,90.80368492
783134,25.96737955,90.90022825
781319,26.35935452,90.87344166
781308,26.24885191,90.93057858
783392,26.42113663,90.81361547
783125,26.06523501,90.79765832
783122,25.93765023,90.75802476
783124,25.98896232,90.80462338
